"Topic","Sentiment","TweetId","TweetDate","TweetText"
"Topic Placeholder","negative","2329003958","Thu Jun 25 10:14:17 PDT 2009","Ug. It isn't a drain leak and it has been leaking for a while. "
"Topic Placeholder","negative","2329003705","Thu Jun 25 10:14:16 PDT 2009","@Clouds2287 Root of All Evil by any chance? Metal is getting well Formulaic these days. Everyone wants to be Linkin Park... "
"Topic Placeholder","negative","2329003992","Thu Jun 25 10:14:17 PDT 2009","Its just so sad that the people fighting cancer that have hope and drive, can't win. Farrah reminds me of my dad that way. "
"Topic Placeholder","negative","2329004031","Thu Jun 25 10:14:17 PDT 2009","@kristacolvin I have that cd in my car right now. Now song in my head "
"Topic Placeholder","negative","2329004221","Thu Jun 25 10:14:18 PDT 2009","Poor Farrah RIP Beautiful "
"Topic Placeholder","negative","2329004394","Thu Jun 25 10:14:18 PDT 2009","Annie is going to Korea tomorrow..  I wanna travel so badly. I wish I can go with her!!!! Ahahah.. Ahhhhhhhhhhhhh........."
"Topic Placeholder","negative","2329004449","Thu Jun 25 10:14:19 PDT 2009","why does home and away have to be so upsetting "
"Topic Placeholder","negative","2329004473","Thu Jun 25 10:14:19 PDT 2009","@ShelbyCasanova don't brag  Tizzy is my future wife. Like hardcore. I want to date her!"
"Topic Placeholder","negative","2329020369","Thu Jun 25 10:15:24 PDT 2009","@teamDdemiLovato what u hahahahaing me for? what did i do "
"Topic Placeholder","negative","2329021206","Thu Jun 25 10:15:27 PDT 2009","@jeepersmedia hi mike did you hear the farrah fawcett died "
"Topic Placeholder","negative","2329021319","Thu Jun 25 10:15:28 PDT 2009","Farrah Fawcett died   Cancer sucks"
"Topic Placeholder","negative","2329021623","Thu Jun 25 10:15:29 PDT 2009","I am heartbroken about Farrah. "
"Topic Placeholder","negative","2329021658","Thu Jun 25 10:15:29 PDT 2009","being annoyed with ?'s that i dont like 15 more days until i go back to arizona i just might kill myself before i even leave!!! "
"Topic Placeholder","negative","2329021809","Thu Jun 25 10:15:29 PDT 2009","On the streetcar to work.  Why isn't today Friday?? "
"Topic Placeholder","negative","2329022006","Thu Jun 25 10:15:30 PDT 2009","Farrah Fawecett passed away  the former Charlies Angel WILL be missed. I send my prayers to the family   ;("
"Topic Placeholder","negative","2329022448","Thu Jun 25 10:15:32 PDT 2009","Sooo close to finshing this modle and why is it rendering always frows a fit and stops working "
"Topic Placeholder","negative","2329023485","Thu Jun 25 10:15:36 PDT 2009","She passed less than a 1/2 hr after the show was over  Barbara Walters was classy as always speaking about Farrah."
"Topic Placeholder","negative","2329023724","Thu Jun 25 10:15:37 PDT 2009","@jimmuncie I just read that! "
"Topic Placeholder","negative","2329023850","Thu Jun 25 10:15:38 PDT 2009","saddened by the loss of icon Farrah Fawcett "
"Topic Placeholder","negative","2329024405","Thu Jun 25 10:15:40 PDT 2009","love can hurt but it's something you get used to "
"Topic Placeholder","negative","2329024422","Thu Jun 25 10:15:40 PDT 2009","i just got a new car..... beginning to think i should of just kept my old one???? man im lost for words "
"Topic Placeholder","negative","2329024510","Thu Jun 25 10:15:40 PDT 2009","Schools out finally!!! stupid snowdays.... i have a swim meet this weekend and really nervous... "
"Topic Placeholder","negative","2329024552","Thu Jun 25 10:15:41 PDT 2009","It hurts when your workdesk's window overlooks all the planes touch down and you wish you're inside one to fly back home "
"Topic Placeholder","negative","2329024661","Thu Jun 25 10:15:41 PDT 2009","Farrah Fawcett has died. I still have her famous red bathing suit poster and a personal autograph. She will be missed. Goodbye angel "
"Topic Placeholder","negative","2329024673","Thu Jun 25 10:15:41 PDT 2009","Amen @ Pj ,,,theyrs another special about her on tonight,,,i luvved her growin up,,,so sad "
"Topic Placeholder","negative","2329024903","Thu Jun 25 10:15:42 PDT 2009","@RainbowSoulPoet  So sorry to hear that. I don't know if those kinds of things ever get any easier. But I'm sure she's grateful u wr there"
"Topic Placeholder","negative","2329025002","Thu Jun 25 10:15:43 PDT 2009","RIP Farrah.. so sad that she passed, but was sad to see her suffering so much too "
"Topic Placeholder","negative","2329025025","Thu Jun 25 10:15:43 PDT 2009","Getting sick in CA.. not cool. "
"Topic Placeholder","negative","2329025064","Thu Jun 25 10:15:43 PDT 2009","@unredacted @warneronstine not here either  poo"
"Topic Placeholder","negative","2329025479","Thu Jun 25 10:15:45 PDT 2009","Car broke down just now  hope tmr's trip to genting won't be cancelled!"
"Topic Placeholder","negative","2329025626","Thu Jun 25 10:15:46 PDT 2009","haha.. wow. Ashh... your just so funny. but gosh.. i miss you even more now. "
"Topic Placeholder","negative","2329026258","Thu Jun 25 10:15:48 PDT 2009","RIP Farrah Fawcett!  Cancer has taken another amazing Angel   Peace be with you now!"
"Topic Placeholder","negative","2329026274","Thu Jun 25 10:15:48 PDT 2009","@tommcfly SAY 'HI' TO ME, PLEASE "
"Topic Placeholder","negative","2329026355","Thu Jun 25 10:15:48 PDT 2009","@AmandaNicole Hey, you're lucky. My husband doesn't drink coffee so I can't make him go get it for me. "
"Topic Placeholder","negative","2329026517","Thu Jun 25 10:15:49 PDT 2009","So far no good  I might cry!!"
"Topic Placeholder","negative","2329026611","Thu Jun 25 10:15:49 PDT 2009","Back from the air and space museum. About to leave hotel. Leaving DC soon "
"Topic Placeholder","negative","2329026695","Thu Jun 25 10:15:50 PDT 2009","anybody want 2 chat w/ me?? im bored... "
"Topic Placeholder","negative","2329026708","Thu Jun 25 10:15:50 PDT 2009","i can't believe i'm crying about lost music, it's like i lost my life "
"Topic Placeholder","negative","2329026779","Thu Jun 25 10:15:50 PDT 2009","@rainnwilson a NSFW warning would have been nice "
"Topic Placeholder","negative","2329026881","Thu Jun 25 10:15:51 PDT 2009","I want my @cyndalboo &amp; MassieShiiza "
"Topic Placeholder","negative","2329026974","Thu Jun 25 10:15:51 PDT 2009","I can't believe Farrah Fawcett died!  So sad "
"Topic Placeholder","negative","2329027375","Thu Jun 25 10:15:53 PDT 2009","Aww Farrah.  The pain's over, sweetie. You can rest now."
"Topic Placeholder","negative","2329027415","Thu Jun 25 10:15:53 PDT 2009","aw RIP Farrah Fawcett. what a beautiful woman. Praying for her family, especially her dad "
"Topic Placeholder","negative","2329027428","Thu Jun 25 10:15:53 PDT 2009","2 hours to rest in my house and of return to the work! "
"Topic Placeholder","negative","2329027575","Thu Jun 25 10:15:53 PDT 2009","Bubba the Butterfly is still mad at me...... "
"Topic Placeholder","negative","2329027664","Thu Jun 25 10:15:54 PDT 2009","Very sad about Farrah Fawcett  People shouldn't have to die from cancer anymore, let's please find a cure!! :-/"
"Topic Placeholder","negative","2329027677","Thu Jun 25 10:15:54 PDT 2009","4 hours of painting in the hot sun...tired, hungry, headache, showered again, need to do makeup &amp; take girls to dentist in 20 minutes. "
"Topic Placeholder","negative","2329027954","Thu Jun 25 10:15:55 PDT 2009","If only I could make dis feeling go away "
"Topic Placeholder","negative","2329028236","Thu Jun 25 10:15:56 PDT 2009","still have to make the summaries etc for documentatiemap, finished the other things. aaaand. portfolio! don't have enough time i think "
"Topic Placeholder","negative","2329028551","Thu Jun 25 10:15:58 PDT 2009","R.I.P Farrah Fawcett  Go with God &lt;3"
"Topic Placeholder","negative","2329028868","Thu Jun 25 10:15:59 PDT 2009","wishing i could be with you now more than ever "
"Topic Placeholder","negative","2329029249","Thu Jun 25 10:16:01 PDT 2009","have you felt a sense of overwhelming uselessness? i feel like crap. 16 going on 60 "
"Topic Placeholder","negative","2329029784","Thu Jun 25 10:16:03 PDT 2009","RIP Farrah Fawcett   You will be missed -&gt;  http://bit.ly/pSX3d"
"Topic Placeholder","negative","2329029986","Thu Jun 25 10:16:04 PDT 2009","RIP Farrah. Prayers are with her family! "
"Topic Placeholder","negative","2329030469","Thu Jun 25 10:16:05 PDT 2009","is bummed to hear about Farrah Fawcett. "
"Topic Placeholder","negative","2329030678","Thu Jun 25 10:16:06 PDT 2009","@lisabulous  I don't want to hear excuses. It's set for 6-8 but I doubt there'll be an exodus right at 8. I'll stick around. Be there!"
"Topic Placeholder","negative","2329030702","Thu Jun 25 10:16:06 PDT 2009","Rest In Peace Farrah "
"Topic Placeholder","negative","2329030883","Thu Jun 25 10:16:07 PDT 2009","aww man i wanted to do a special tweet on my 1,000th tweet. but i guess i missed it  lolol."
"Topic Placeholder","negative","2329030932","Thu Jun 25 10:16:07 PDT 2009","another rainy morning "
"Topic Placeholder","negative","2329031111","Thu Jun 25 10:16:08 PDT 2009","Uuhg its so gross out todayy "
"Topic Placeholder","negative","2329031130","Thu Jun 25 10:16:08 PDT 2009","@tommcfly oh tom, why do you never reply me? i'll kill you someday "
"Topic Placeholder","negative","2329031332","Thu Jun 25 10:16:09 PDT 2009","@karakarth uh oh I'm telling LOL jk guess no show today "
"Topic Placeholder","negative","2329031403","Thu Jun 25 10:16:09 PDT 2009","@april_miss thank goodness!!! I was beginning to worry about your ankle "
"Topic Placeholder","negative","2329031437","Thu Jun 25 10:16:09 PDT 2009","It's sad about Farah, and her partner was planning to marry her ... "
"Topic Placeholder","negative","2329031467","Thu Jun 25 10:16:09 PDT 2009","@FunkaliciousSam i know! Loved it! Too bad i just finished work couldn't fully enjoy it  ! I'm good how are you? X"
"Topic Placeholder","negative","2329031555","Thu Jun 25 10:16:10 PDT 2009","Still not &quot;sick&quot;, per se, but still not feeling great - avoiding the hospital until I'm better "
"Topic Placeholder","negative","2329031937","Thu Jun 25 10:16:11 PDT 2009","Rest in peace Farrah Fawcett.  "
"Topic Placeholder","negative","2329032018","Thu Jun 25 10:16:12 PDT 2009","Apparently I'm going to Ontario for pre summer games training n our schedules r looking so tight- I probably wont have much twitter time "
"Topic Placeholder","negative","2329032045","Thu Jun 25 10:16:12 PDT 2009","@MrMikeG Nope. Not at all. "
"Topic Placeholder","negative","2329032054","Thu Jun 25 10:16:12 PDT 2009","@BigAC88 Wow, that is so sad  Rest in peace, Farrah Fawcett!"
"Topic Placeholder","negative","2329033173","Thu Jun 25 10:16:16 PDT 2009","@MichelleSmiles Aw  I'm just lucky it's here in Chicago or I probably couldn't go either."
"Topic Placeholder","negative","2329033508","Thu Jun 25 10:16:18 PDT 2009","@TEYANATAYLOR I totally understand. I was in homeschool and didn't get the whole graduation experience "
"Topic Placeholder","negative","2329033612","Thu Jun 25 10:16:18 PDT 2009","only a few more hours to go. On a sad note, Farah Fawcett has died "
"Topic Placeholder","negative","2329033681","Thu Jun 25 10:16:18 PDT 2009","RIP Farrah. We'll miss you "
"Topic Placeholder","negative","2329033928","Thu Jun 25 10:16:19 PDT 2009","RIP Farrah Fawcett Your poster will still continue to be epic "
"Topic Placeholder","negative","2329051503","Thu Jun 25 10:17:33 PDT 2009","awwww, no farrah!!! what a fight she put up, but so sad.. such an icon! "
"Topic Placeholder","negative","2329051654","Thu Jun 25 10:17:34 PDT 2009","Rest in peace, Farrah Fawcett...rest now.  Your struggle is over.  Bless her and her family. "
"Topic Placeholder","negative","2329051963","Thu Jun 25 10:17:35 PDT 2009","Just got back from a nearby (~75mi.) city. It was a fun vacation, although it was short lived for one day. "
"Topic Placeholder","negative","2329052039","Thu Jun 25 10:17:36 PDT 2009","it is a good weather out today, we should chill, but first, come to broadway with me  anyoneeeee ?!"
"Topic Placeholder","negative","2329052301","Thu Jun 25 10:17:37 PDT 2009","ewwwwwwwww bugs! they are sooo gross! and i'm going to see transformers! whooo! i was going to see it yesterday, but it was sold out!! "
"Topic Placeholder","negative","2329052911","Thu Jun 25 10:17:39 PDT 2009","my favorite person leaves tonight  we argued a lot about stupid things this time but last night made me remember why I love him"
"Topic Placeholder","negative","2329052931","Thu Jun 25 10:17:39 PDT 2009","Sad all the time. "
"Topic Placeholder","negative","2329053239","Thu Jun 25 10:17:41 PDT 2009","I hate how stuborn I am. My wrist was hurt then I kept playing And doing stuff. Now I cAn't even do my makeup without a brace. "
"Topic Placeholder","negative","2329053315","Thu Jun 25 10:17:41 PDT 2009","I had a feeling she was fighting a losing battle  http://tinyurl.com/lmvn9s"
"Topic Placeholder","negative","2329053320","Thu Jun 25 10:17:41 PDT 2009","@brettjohn she past away?.. oh  RIP."
"Topic Placeholder","negative","2329053431","Thu Jun 25 10:17:42 PDT 2009","@LeannePowell86 it was in the bothwell bridge. fancy hotel! :L yeahh was good. except i have the flu (n)  xx"
"Topic Placeholder","negative","2329053653","Thu Jun 25 10:17:42 PDT 2009","Farrah Fawcett finally lost her battle with cancer...  so sad. "
"Topic Placeholder","negative","2329054076","Thu Jun 25 10:17:44 PDT 2009","sad for the loss of Farrah Fawcett after such a long battle with cancer. "
"Topic Placeholder","negative","2329054238","Thu Jun 25 10:17:45 PDT 2009","So sad about Farrah Fawcett!  Been watching Charlies Angels on youtube for a while... Finished Season 1 a few days ago- It was her only."
"Topic Placeholder","negative","2329054272","Thu Jun 25 10:17:45 PDT 2009","@PrannyBinDC Ahh I can't wait for pictures and stories! Miss you boo boo "
"Topic Placeholder","negative","2329054470","Thu Jun 25 10:17:46 PDT 2009","@Yasmeiin Me toooo! I'm sorry but how can I help if I don't get a fuck of it either  We're so screwed tomorrow "
"Topic Placeholder","negative","2329054524","Thu Jun 25 10:17:46 PDT 2009","@allstarsonline puff, a lot of nice/talented ppl is leaving this world.. "
"Topic Placeholder","negative","2329054808","Thu Jun 25 10:17:47 PDT 2009","not long till i finish this evening...then back in tomorrow at half 9.  I want to be off though "
"Topic Placeholder","negative","2329054845","Thu Jun 25 10:17:48 PDT 2009","I thought Paramore's album was gonna be released on Sept 9th or 10th, now it's the 29th? "
"Topic Placeholder","negative","2329055127","Thu Jun 25 10:17:49 PDT 2009","Oh ,no!  Farrah Fawcett just passed away "
"Topic Placeholder","negative","2329055210","Thu Jun 25 10:17:49 PDT 2009","Looks like someone finally realized his mistake. But idk if I can handle another fight. I will always care. But idk if he actually cares. "
"Topic Placeholder","negative","2329055330","Thu Jun 25 10:17:50 PDT 2009","I feel very bad for both Ryan and son Redmond  I heard that her dad is not doing well either "
"Topic Placeholder","negative","2329055896","Thu Jun 25 10:17:52 PDT 2009","sad @fancydee leaves today "
"Topic Placeholder","negative","2329055927","Thu Jun 25 10:17:53 PDT 2009","Afraid Dad will shout at me. Logged him out of Gmail... "
"Topic Placeholder","negative","2329055982","Thu Jun 25 10:17:53 PDT 2009","I hate when technology doesn't work right.  I frustrates me beyond belief.  "
"Topic Placeholder","negative","2329056097","Thu Jun 25 10:17:53 PDT 2009","@josephdsummers.  As lame as Jackson always is.  I miss you too.  I've been all by myself for several days now. "
"Topic Placeholder","negative","2329056604","Thu Jun 25 10:17:55 PDT 2009","@TammyMunson - I am sorry you aren't having a good day "
"Topic Placeholder","negative","2329056620","Thu Jun 25 10:17:55 PDT 2009","@koreekreeper who's this person u r constantly referring to?It bugs me that I dont know,even if its not my business  koree+sad=sad melissa"
"Topic Placeholder","negative","2329056794","Thu Jun 25 10:17:56 PDT 2009","GUYS the ghost is back at my house. wreaking havoc in the living room at odd hours of the night. cleaning up "
"Topic Placeholder","negative","2329056832","Thu Jun 25 10:17:56 PDT 2009","RIP Farrah  what a shame.  I may feather my hair tonight in your honor."
"Topic Placeholder","negative","2329056954","Thu Jun 25 10:17:57 PDT 2009","RIP Farrah Fawcett http://www.cnn.com/2009/SHOWBIZ/TV/06/25/obit.fawcett/index.html More losses to cancer "
"Topic Placeholder","negative","2329057090","Thu Jun 25 10:17:58 PDT 2009","it was so nice and sunny this morning, and now the sky is like pitch black  i wanted to go swimming today!"
"Topic Placeholder","negative","2329057145","Thu Jun 25 10:17:58 PDT 2009","So sad about Farrah Fawcett... "
"Topic Placeholder","negative","2329057578","Thu Jun 25 10:18:00 PDT 2009","If ever there was a time when I wanted to rip my nose off of my face and throw it FAR, that time is NOW!! Running out of tissues "
"Topic Placeholder","negative","2329057593","Thu Jun 25 10:18:00 PDT 2009","Went to the doctor, got some meds for the pain.. Hoping they work so I don't have to take x-rays.. Dreading going to work today.. "
"Topic Placeholder","negative","2329058126","Thu Jun 25 10:18:02 PDT 2009","Everywhere I look...happy pregnant people. I miss my midwife "
"Topic Placeholder","negative","2329058344","Thu Jun 25 10:18:03 PDT 2009","62 was the age my grandmother died from lung cancer. I never got to meet her. "
"Topic Placeholder","negative","2329058364","Thu Jun 25 10:18:03 PDT 2009","WOW Farrah Fawcett died  i think she had anal cancer. o.0"
"Topic Placeholder","negative","2329058365","Thu Jun 25 10:18:03 PDT 2009","Charlie has a new angel! Rest in peace farrah fawcett. "
"Topic Placeholder","negative","2329058629","Thu Jun 25 10:18:04 PDT 2009","@Blue_Bunny I went &amp; signed up, but I didn't see a coupon for Bomb pops.   #houseofgems"
"Topic Placeholder","negative","2329058671","Thu Jun 25 10:18:04 PDT 2009","@michellebeckham OMG! I hope Glenn is okay. Sorry to hear the news. "
"Topic Placeholder","negative","2329058690","Thu Jun 25 10:18:04 PDT 2009","R.I.P. Farrah Fawcett. I wanted to be her when I was little. "
"Topic Placeholder","negative","2329058697","Thu Jun 25 10:18:04 PDT 2009","@ang_w  Oh no! That's too bad. "
"Topic Placeholder","negative","2329058780","Thu Jun 25 10:18:05 PDT 2009","farrah noooooo  leaving for the beach in 2 hours. Idk if I'll have the internet"
"Topic Placeholder","negative","2329059070","Thu Jun 25 10:18:06 PDT 2009","so sad farrah...your hair and your smile and your spirit will live on, angel. "
"Topic Placeholder","negative","2329059265","Thu Jun 25 10:18:07 PDT 2009","Just heard that my fav local restaurant is being sold...hope the new owners don't change the menu or the inside or staff or...anything! "
"Topic Placeholder","negative","2329059332","Thu Jun 25 10:18:07 PDT 2009","@cryssie awww. Farrah Fawcett known as a Charlie Angel in 1970's. Now, she is no more. "
"Topic Placeholder","negative","2329059425","Thu Jun 25 10:18:07 PDT 2009","@berianreed #jealous "
"Topic Placeholder","negative","2329059511","Thu Jun 25 10:18:08 PDT 2009","doesn't feel good! "
"Topic Placeholder","negative","2329059540","Thu Jun 25 10:18:08 PDT 2009","Aw Shucks I double, triple, Quadruple over booked my weekend..I h8 wen I dot that..now I gotta cancel some1/something.I h8 tellin ppl No "
"Topic Placeholder","negative","2329059572","Thu Jun 25 10:18:08 PDT 2009","I am sorry I am so touchy right now "
"Topic Placeholder","negative","2329059835","Thu Jun 25 10:18:09 PDT 2009","Farrah faucett died this a.m "
"Topic Placeholder","negative","2329059860","Thu Jun 25 10:18:09 PDT 2009","@julianahatfield rip farrah "
"Topic Placeholder","negative","2329060182","Thu Jun 25 10:18:10 PDT 2009","Ugh I wish I was going to the Every Avenue &amp; Valencia concert tonight  I hate Grand Rapids."
"Topic Placeholder","negative","2329060204","Thu Jun 25 10:18:10 PDT 2009","Uggghhhhh. My wrists hurt SOOOO BADDDD today!!! Can I go home now????? "
"Topic Placeholder","negative","2329060391","Thu Jun 25 10:18:11 PDT 2009","@d_garmo71 Ah - that's very sad. "
"Topic Placeholder","negative","2329060697","Thu Jun 25 10:18:12 PDT 2009","@TMoney_Sculls you should go down another week.... so i can come. ive never been to wildwood "
"Topic Placeholder","negative","2329060938","Thu Jun 25 10:18:13 PDT 2009","@rhiannonrevolts Yeah I see that.   The last word I'd heard on her did not sound good. Wishing her family good thoughts."
"Topic Placeholder","negative","2329060978","Thu Jun 25 10:18:14 PDT 2009","@tiffanysvaughan I'm afraid to go outside myself!  Totally nasty weather. "
"Topic Placeholder","negative","2329061095","Thu Jun 25 10:18:14 PDT 2009","@knitplaywithfir you can have the felted tweed.  and maybe some other stuff too.  keep the bulky.  i am not allowed more yarn right now "
"Topic Placeholder","negative","2329061374","Thu Jun 25 10:18:15 PDT 2009","wishing I was packing for NECC "
"Topic Placeholder","negative","2329061477","Thu Jun 25 10:18:16 PDT 2009","so sad, RIP Farrah Fawcett, the loveliest Charlie's Angel "
"Topic Placeholder","negative","2329061564","Thu Jun 25 10:18:16 PDT 2009","Its about that time for lunch...and i have only 3 dollars. "
"Topic Placeholder","negative","2329061577","Thu Jun 25 10:18:16 PDT 2009","Curses! My office has too much interference, and I can't get a clear signal on @wfan660.  No Wayne Hagan for me today. #Mets"
"Topic Placeholder","negative","2329061608","Thu Jun 25 10:18:16 PDT 2009","sedang confused  http://plurk.com/p/13yab9"
"Topic Placeholder","negative","2329061620","Thu Jun 25 10:18:16 PDT 2009","RIP Farrah. You'll be missed! "
"Topic Placeholder","negative","2329061940","Thu Jun 25 10:18:17 PDT 2009","AI Offers 2-5 yrs leav widout pay 2 its employes "
"Topic Placeholder","negative","2329062337","Thu Jun 25 10:18:19 PDT 2009","JUST SOLD OUR HOUSE TO GET A LOWER HOUSE PMT AND THE HOUSE WE WANTED JUST SOLD - WHAT TO DO??? "
"Topic Placeholder","negative","2329062592","Thu Jun 25 10:18:20 PDT 2009","@Marissacre I tried thinking of a second line and couldn't "
"Topic Placeholder","negative","2329062606","Thu Jun 25 10:18:20 PDT 2009","I saw him, I did saw him or is it me who is always saw the wrong person. but hey, I did saw him. He smiled to me! yes he did! Omg! "
"Topic Placeholder","negative","2329062683","Thu Jun 25 10:18:21 PDT 2009","@Shontelle_Layne hmmm im so sorry.. people keep saying this.. who is she?  x"
"Topic Placeholder","negative","2329062685","Thu Jun 25 10:18:21 PDT 2009","Holy cripes, Farrah Fawcett died? what a flippin week "
"Topic Placeholder","negative","2329062797","Thu Jun 25 10:18:21 PDT 2009","RIP Farrah Fawcett! This is so sad "
"Topic Placeholder","negative","2329063342","Thu Jun 25 10:18:24 PDT 2009","RIP Farrah ! Charlie is going to miss one angel "
"Topic Placeholder","negative","2329063900","Thu Jun 25 10:18:26 PDT 2009","Finished my paper! It's about creating new discourses about the (Muslim) veil. It's always about how oppressed these women are... "
"Topic Placeholder","negative","2329064031","Thu Jun 25 10:18:26 PDT 2009","http://twitpic.com/8dw4j - @bdiako1 and I on our balcony. Still missing Hawaii "
"Topic Placeholder","negative","2329064110","Thu Jun 25 10:18:27 PDT 2009","Sad week in Hollywood. Farrah and Ed within days of one another "
"Topic Placeholder","negative","2329081270","Thu Jun 25 10:19:41 PDT 2009","My blackberrys on the fritz.... "
"Topic Placeholder","negative","2329081598","Thu Jun 25 10:19:42 PDT 2009","@mileycyrus http://twitpic.com/8cmop - i wish i was there "
"Topic Placeholder","negative","2329081713","Thu Jun 25 10:19:43 PDT 2009","i totally ate springs at gymnastics, my face hurts, its really red, and i have a headache  the cab tomorrow!"
"Topic Placeholder","negative","2329081742","Thu Jun 25 10:19:44 PDT 2009","ugggggggggggghhhh hate pop crunch with their stupid comments!!!!!!!!!!!!! "
"Topic Placeholder","negative","2329082092","Thu Jun 25 10:19:44 PDT 2009","I hate the excitement of pouring a bowl of honey bunches of oats, only to be disappointed by a lack of milk "
"Topic Placeholder","negative","2329082348","Thu Jun 25 10:19:45 PDT 2009","Damn it I just blew out a tire   http://twitpic.com/8dw9c"
"Topic Placeholder","negative","2329082389","Thu Jun 25 10:19:45 PDT 2009","Definitely under the weather today "
"Topic Placeholder","negative","2329082700","Thu Jun 25 10:19:47 PDT 2009","Aw shit, Farrah Fawcett passed away. "
"Topic Placeholder","negative","2329082728","Thu Jun 25 10:19:47 PDT 2009","@SandyPaws That makes sense. The Waiting Game. "
"Topic Placeholder","negative","2329082745","Thu Jun 25 10:19:47 PDT 2009","No more summer dance team practices... Ever... In my life... Sad day "
"Topic Placeholder","negative","2329083019","Thu Jun 25 10:19:48 PDT 2009","@Sheindie I'm good. Things are moving along. Came back from lunch with the sad news "
"Topic Placeholder","negative","2329083104","Thu Jun 25 10:19:48 PDT 2009","I am eating peanut butter bagel. It's pretty good. Poor Farrah Fawcett. "
"Topic Placeholder","negative","2329083296","Thu Jun 25 10:19:49 PDT 2009","darn it! all that work to get my OS back in English and it doesn't even have the options I want. Think i need to install some software "
"Topic Placeholder","negative","2329083398","Thu Jun 25 10:19:50 PDT 2009","@hnrxmcrlover I'm getting it cut to my shoulders tomorrow "
"Topic Placeholder","negative","2329083434","Thu Jun 25 10:19:50 PDT 2009","@tommcfly toooom answer me!  im crazy to hear the new songs! Come to brazil again.  Te Amo"
"Topic Placeholder","negative","2329083531","Thu Jun 25 10:19:50 PDT 2009","@SecBarbie I'd so do cybercommand but they be hatin on the non citizens "
"Topic Placeholder","negative","2329083634","Thu Jun 25 10:19:51 PDT 2009","Hates when the lady doesn't clean the bed good and the person before you used tingle. Butt and back are SINGED "
"Topic Placeholder","negative","2329084134","Thu Jun 25 10:19:53 PDT 2009","Saddened by the death of Farrah Fawcett. "
"Topic Placeholder","negative","2329084573","Thu Jun 25 10:19:55 PDT 2009","@TickingTimeBomb See hes not verified but hes got these candid tweetpics so i don't know what to do....  Hows Steph? "
"Topic Placeholder","negative","2329084722","Thu Jun 25 10:19:55 PDT 2009","@tommcfly oh yeah! tom! please a reply! please please please! say something! "
"Topic Placeholder","negative","2329085241","Thu Jun 25 10:19:58 PDT 2009","Nobodys talking cuz there all taking quizez!!  .....lol"
"Topic Placeholder","negative","2329085294","Thu Jun 25 10:19:58 PDT 2009","@xThislove SAME! but ive eaten too much todaii! ive been piggin out on junk food LOOL so imma hve to stop "
"Topic Placeholder","negative","2329085388","Thu Jun 25 10:19:58 PDT 2009","@Mm_Ka I don't know things are annoying me I don't want to work either "
"Topic Placeholder","negative","2329085526","Thu Jun 25 10:19:59 PDT 2009","I want to go swimming, its too damn hot!! but my pool is filthy!! blahhhh "
"Topic Placeholder","negative","2329086210","Thu Jun 25 10:20:02 PDT 2009","Rest in peace Farrah Fawcett "
"Topic Placeholder","negative","2329086211","Thu Jun 25 10:20:02 PDT 2009","Rest In Peace Farrah! "
"Topic Placeholder","negative","2329086278","Thu Jun 25 10:20:02 PDT 2009","@nicokwanart Yeah "
"Topic Placeholder","negative","2329086443","Thu Jun 25 10:20:03 PDT 2009","ninguem on  então bye"
"Topic Placeholder","negative","2329086478","Thu Jun 25 10:20:03 PDT 2009","on the one day i dont bring my umbrella, i get caught in the storm "
"Topic Placeholder","negative","2329086752","Thu Jun 25 10:20:04 PDT 2009","RIP Farrah Fawcett. She was such a bright shining star, and my personal hair icon. She will be missed "
"Topic Placeholder","negative","2329086839","Thu Jun 25 10:20:04 PDT 2009","I have nothing to do for 4 hours "
"Topic Placeholder","negative","2329086996","Thu Jun 25 10:20:05 PDT 2009","Rest in peace Farrah "
"Topic Placeholder","negative","2329087108","Thu Jun 25 10:20:05 PDT 2009","Missing Jakarta already "
"Topic Placeholder","negative","2329087315","Thu Jun 25 10:20:06 PDT 2009","@Nakialjackson Aww...that's sad "
"Topic Placeholder","negative","2329087373","Thu Jun 25 10:20:07 PDT 2009","@vmprfreak "
